Persona, Arcana, Curse, Electric, Fire, Ice, Item, Bless, Lv, Nuclear, Personality, Phys, Psi, Gun, Skills, Wind
Abaddon,Judgement,ab,-,-,-,Makarakarn,-,74,wk,ab,wk,ab,"Absorb Phys(79),Deathbound,Gigantomachia(80),Makarakarn,Spirit Drain,Survival Trick(77)",-                
Agathion,Chariot,-,rs,-,-,Zio,-,3,-,Timid,-,-,rs,"Baisudi,Dia,Dodge Electric(8),Lunge(4),Rakukaja(6),Zio",wk
        st: 27,
        wind: rs
    },
    Nebiros: {
        ag: 36,
        arcana: Devil,
        curse: rp,        
        electric: -,
        en: 42,
        fire: -,
        ice: -,
        item: Eigaon,
        bless: wk,
        lu: 36,
        lvl: 62,
        ma: 40,
        nuclear: -,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Curse Amp: 65,
            Eigaon: 0,
            Evade Bless: 66,
            Maeigaon: 64,
            Mamudoon: 0,
            Marin Karin: 0,
            Megidolaon: 68
        },
        st: 39,
        wind: -
    },
    Neko Shogun: {
        ag: 21,
        arcana: Star,
        curse: rs,        
        electric: rs,
        en: 19,
        fire: -,
        ice: -,
        item: キャットナップ,
        bless: nu,
        lu: 18,
        lvl: 30,
        ma: 20,
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Defense Master: 34,
            Diarama: 0,
            High Voltage: 36,
            Invigorate 1: 31,
            Masukukaja: 0,
            Psio: 0,
            Rat Fang: 33
        },
        st: 19,
        wind: wk
    },
    Nekomata: {
        ag: 15,
        arcana: Magician,
        curse: -,        
        electric: wk,
        en: 12,
        fire: -,
        ice: -,
        item: ネコパンチバズ,
        bless: -,
        lu: 8,
        lvl: 17,
        ma: 10,        
        nuclear: -,
        personality: Upbeat,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Devil Touch: 0,
            Dodge Electric: 22,
            Electric Wall: 21,
            Hysterical Slap: 18,
            Magaru: 0,
            Terror Claw: 0,
            Wind Break: 20
        },
        st: 13,
        wind: -
    },
    Nigi Mitama: {
        ag: 15,
        arcana: Temperance,
        curse: rs,        
        electric: wk,
        en: 14,
        fire: -,
        ice: -,
        item: Me Patra,
        bless: rs,
        lu: 12,
        lvl: 20,
        ma: 14,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Baisudi: 0,
            Divine Grace: 22,
            Makouha: 0,
            Me Patra: 23,
            Media: 0,
            Rainy Play: 24
        },
        st: 12,
        wind: -
    },
    Norn: {
        ag: 34,
        arcana: Fortune,
        curse: -,        
        electric: -,
        en: 33,
        fire: -,
        ice: rs,
        item: Diarahan,
        bless: -,
        lu: 28,
        lvl: 52,
        ma: 38,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Amrita Drop: 55,
            Blinding Flash: 0,
            Diarahan: 54,
            Garudyne: 0,
            Samarecarm: 57,
            Tetraja: 56,
            Ziodyne: 0
        },
        st: 30,
        wind: ab
    },
    Nue: {
        ag: 14,
        arcana: Moon,
        curse: nu,        
        electric: -,
        en: 17,
        fire: wk,
        ice: rs,
        item: Skull Cracker,
        bless: -,
        lu: 10,
        lvl: 20,
        ma: 10,        
        nuclear: -,
        personality: Irritable,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Assault Dive: 25,
            Curse Boost: 26,
            Maeiha: 0,
            Mamudo: 24,
            Mudo: 21,
            Pulinpa: 22,
            Skull Cracker: 0
        },
        st: 16,
        wind: -
    },
    Obariyon: {
        ag: 8,
        arcana: Fool,
        curse: -,        
        electric: wk,
        en: 9,
        fire: -,
        ice: -,
        item: Lucky Punch,
        bless: -,
        lu: 4,
        lvl: 8,
        ma: 3,        
        nuclear: -,
        personality: Unknown,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Dekaja: 12,
            Snap: 0,
            Lucky Punch: 9,
            Resist Fear: 10,
            Sukunda: 0
        },
        st: 7,
        wind: -
    },
    Oberon: {
        ag: 43,
        arcana: Emperor,
        curse: -,        
        electric: rs,
        en: 43,
        fire: -,
        ice: -,
        item: Electric Amp,
        bless: -,
        lu: 35,
        lvl: 66,
        ma: 44,        
        nuclear: wk,
        personality: Unknown,
        phys: -,
        Psi: nu,
        gun: -,        
        skills: {
            Brain Jack: 0,
            Electric Amp: 72,
            Heat Wave: 0,
            Matarukaja: 68,
            Maziodyne: 69,
            Psi Wall: 70,
            Samarecarm: 71,
            Ziodyne: 0
        },
        st: 40,
        wind: -
    },
    Odin: {
        ag: 52,
        arcana: Emperor,
        curse: rp,        
        electric: nu,
        en: 54,
        fire: -,
        ice: -,
        item: ワイルドハント,
        bless: rp,
        lu: 42,
        lvl: 82,
        ma: 52,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            El Jihad: 84,
            Electric Amp: 87,
            Fast Heal: 86,
            Marakukaja: 0,
            Mind Charge: 85,
            Rainy Death: 0,
            Thunder Reign: 0
        },
        st: 53,
        wind: ab
    },
    Okuninushi: {
        ag: 28,
        arcana: Emperor,
        curse: -,        
        electric: rp,
        en: 29,
        fire: -,
        ice: -,
        item: 国造の衣,
        bless: -,
        lu: 24,
        lvl: 44,
        ma: 28,
        nuclear: wk,
        phys: -,
        Psi: nu,
        gun: -,        
        skills: {
            Evade Nuclear: 47,
            Heat Wave: 49,
            MaPsio: 0,
            Matarukaja: 0,
            Psi Boost: 45,
            Psi Break: 46,
            Tempest Slash: 0
        },
        st: 30,
        wind: wk
    },
    Ongyo-Ki: {
        ag: 48,
        arcana: Hermit,
        curse: rp,        
        electric: -,
        en: 47,
        fire: -,
        ice: -,
        item: Rainy Death,
        bless: rp,
        lu: 39,
        lvl: 75,
        ma: 42,
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: rs,        
        skills: {
            Agneyastra: 81,
            Arms Master: 77,
            Firm Stance: 79,
            Makajamon: 0,
            Pressing Stance: 0,
            Rainy Death: 0,
            Regenerate 3: 78
        },
        st: 56,
        wind: -
    },
    Oni: {
        ag: 13,
        arcana: Strength,
        curse: -,        
        electric: -,
        en: 16,
        fire: -,
        ice: -,
        item: Rampage,
        bless: -,
        lu: 10,
        lvl: 19,
        ma: 8,        
        nuclear: -,
        personality: Upbeat,
        phys: rs,
        Psi: -,
        gun: rs,        
        skills: {
            Memory Blow: 23,
            Sharp Student: 22,
            Counter: 0,
            Snap: 0,
            Giant Slice: 21,
            Rampage: 0
        },
        st: 17,
        wind: -
    },
    Onmoraki: {
        ag: 10,
        arcana: Moon,
        curse: nu,        
        electric: -,
        en: 7,
        fire: rs,
        ice: -,
        item: Panic Boost,
        bless: wk,
        lu: 5,
        lvl: 12,
        ma: 12,        
        nuclear: -,
        personality: Gloomy,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Agi: 13,
            Ice Wall: 0,
            Mudo: 0,
            Panic Boost: 15,
            Pulinpa: 14,
            Resist Fear: 17
        },
        st: 9,
        wind: -
    },
    Orlov: {
        ag: 30,
        arcana: Strength,
        curse: nu,        
        electric: -,
        en: 30,
        fire: nu,
        ice: nu,
        item: オルロフ,
        bless: nu,
        lu: 30,
        lvl: 30,
        ma: 30,
        nuclear: nu,
        phys: rs,
        Psi: nu,
        gun: nu,        
        skills: {
            Mabufula: 0,
            Maeiga: 0,
            Mafreila: 0,
            Magarula: 0,
            Makouga: 0,
            MaPsio: 0,
            Maragion: 0,
            Mazionga: 0
        },
        st: 30,
        wind: nu
    },
    Orobas: {
        ag: 12,
        arcana: Hierophant,
        curse: rs,        
        electric: -,
        en: 15,
        fire: -,
        ice: -,
        item: Maragi,
        bless: wk,
        lu: 6,
        lvl: 17,
        ma: 14,        
        nuclear: -,
        personality: Timid,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Dekaja: 0,
            Fire Break: 20,
            Makajamon: 21,
            Maragi: 0,
            Marakunda: 19,
            Sukukaja: 0
        },
        st: 11,
        wind: rs
    },
    Orpheus: {
        ag: 17,
        arcana: Fool,
        curse: wk,        
        electric: wk,
        en: 17,
        fire: -,
        ice: -,
        item: 冥府の竪琴,
        bless: rs,
        lu: 17,
        lvl: 26,
        ma: 17,        
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,       
        skills: {
            Agilao: 0,
            Cadenza: 0,
            Endure: 27,
            Fire Boost: 32,
            Maragion: 29,
            Marakukaja: 30,
            Tarunda: 0
        },
        st: 17,
        wind: -
    },
    Orpheus Picaro: {
        ag: 19,
        arcana: Fool,
        curse: wk,        
        electric: wk,
        en: 19,
        fire: -,
        ice: -,
        item: Agidyne,
        bless: rs,
        lu: 19,
        lvl: 29,
        ma: 19,        
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Agidyne: 32,
            Cadenza: 0,
            Endure: 30,
            Fire Boost: 35,
            Maragion: 0,
            Matarukaja: 33,
            Matarunda: 0
        },
        st: 19,
        wind: -
    },
    Orthrus: {
        ag: 19,
        arcana: Hanged Man,
        curse: -,        
        electric: -,
        en: 14,
        fire: ab,
        ice: wk,
        item: Burn Boost,
        bless: -,
        lu: 7,
        lvl: 21,
        ma: 14,        
        nuclear: rs,
        personality: Irritable,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Agilao: 0,
            Burn Boost: 22,
            Dodge Ice: 0,
            Double Fangs: 0,
            Matarukaja: 26,
            Rat Fang: 24
        },
        st: 16,
        wind: -
    },
    Ose: {
        ag: 31,
        arcana: Fool,
        curse: nu,        
        electric: -,
        en: 25,
        fire: rs,
        ice: -,
        item: Matarukaja,
        bless: wk,
        lu: 21,
        lvl: 42,
        ma: 24,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Counterstrike: 0,
            Heat Wave: 47,
            Matarukaja: 45,
            Oni Kagura: 0,
            Tempest Slash: 43
        },
        st: 32,
        wind: -
    },
    Pale Rider: {
        ag: 39,
        arcana: Death,
        curse: rp,        
        electric: -,
        en: 33,
        fire: -,
        ice: -,
        item: Megidola,
        bless: wk,
        lu: 26,
        lvl: 53,
        ma: 34,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Banishing Wave: 0,
            Brain Shake: 0,
            Curse Boost: 55,
            Deathbound: 58,
            Eigaon: 0,
            Evade Bless: 57,
            Megidola: 54
        },
        st: 34,
        wind: rs
    },
    Parvati: {
        ag: 39,
        arcana: Lovers,
        curse: wk,        
        electric: -,
        en: 33,
        fire: -,
        ice: rp,
        item: Psidyne,
        bless: rs,
        lu: 31,
        lvl: 56,
        ma: 39,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Diarahan: 58,
            Diarama: 0,
            Energy Shower: 57,
            Hama Boost: 61,
            Hamaon: 0,
            MaPsidyne: 59,
            Psidyne: 0
        },
        st: 33,
        wind: -
    },
    Pazuzu: {
        ag: 26,
        arcana: Devil,
        curse: nu,        
        electric: -,
        en: 27,
        fire: -,
        ice: -,
        item: Maeiga,
        bless: wk,
        lu: 24,
        lvl: 43,
        ma: 30,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bad Beat: 47,
            Ambient Aid: 45,
            Devil Smile: 46,
            Eigaon: 48,
            Maeiga: 0,
            Mudoon: 0,
            Tentarafoo: 0
        },
        st: 29,
        wind: rs
    },
    Pisaca: {
        ag: 17,
        arcana: Death,
        curse: nu,        
        electric: rs,
        en: 21,
        fire: wk,
        ice: -,
        item: 首狩り杓子,
        bless: wk,
        lu: 16,
        lvl: 29,
        ma: 21,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Banishing Wave: 32,
            Distress Boost: 33,
            Dream Needle: 0,
            Mamudo: 30,
            Mudoon: 34,
            Rampage: 0,
            Stagnant Air: 0
        },
        st: 19,
        wind: -
    },
    Pixie: {
        ag: 4,
        arcana: Lovers,
        curse: wk,        
        electric: rs,
        en: 3,
        fire: -,
        ice: wk,
        item: Dia,
        bless: rs,
        lu: 2,
        lvl: 2,
        ma: 3,        
        nuclear: -,
        personality: Timid,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Dia: 0,
            Patra: 3,
            Resist Panic: 6,
            Tarukaja: 5,
            Zio: 0
        },
        st: 1,
        wind: -
    },
    Power: {
        ag: 25,
        arcana: Justice,
        curse: wk,        
        electric: -,
        en: 28,
        fire: -,
        ice: -,
        item: Masukukaja,
        bless: nu,
        lu: 21,
        lvl: 41,
        ma: 26,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Diarama: 44,
            Hamaon: 0,
            Makouga: 43,
            Masukukaja: 45,
            Null Curseness: 46,
            Sukukaja: 0,
            Swift Strike: 42
        },
        st: 30,
        wind: rs
    },
    Principality: {
        ag: 21,
        arcana: Justice,
        curse: wk,        
        electric: -,
        en: 18,
        fire: rs,
        ice: -,
        item: Tetraja,
        bless: nu,
        lu: 19,
        lvl: 29,
        ma: 19,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bless Boost: 34,
            Mabaisudi: 32,
            Makajamon: 0,
            Makouga: 0,
            Mediarama: 31,
            Tetraja: 0
        },
        st: 17,
        wind: -
    },
    Queen Mab: {
        ag: 30,
        arcana: Magician,
        curse: -,        
        electric: rs,
        en: 26,
        fire: nu,
        ice: -,
        item: マスカレイドリボン,
        bless: -,
        lu: 22,
        lvl: 43,
        ma: 35,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Agidyne: 48,
            Makajamon: 0,
            Makara Break: 46,
            Matarunda: 44,
            Mazionga: 0,
            Wind Wall: 0
        },
        st: 23,
        wind: wk
    },
    Quetzalcoatl: {
        ag: 41,
        arcana: Sun,
        curse: -,        
        electric: -,
        en: 41,
        fire: nu,
        ice: -,
        item: Regenerate 3,
        bless: -,
        lu: 34,
        lvl: 63,
        ma: 42,
        nuclear: -,
        phys: -,
        Psi: wk,
        gun: -,        
        skills: {
            Memory Blow: 0,
            Garudyne: 0,
            Growth 3: 65,
            Magarudyne: 67,
            Magarula: 0,
            Regenerate 3: 66,
            Wind Amp: 68
        },
        st: 38,
        wind: rs
    },
    Raja Naga: {
        ag: 35,
        arcana: Temperance,
        curse: -,        
        electric: nu,
        en: 36,
        fire: -,
        ice: -,
        item: Ziodyne,
        bless: -,
        lu: 31,
        lvl: 55,
        ma: 37,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Electric Break: 0,
            Evade Wind: 60,
            Makarakarn: 58,
            Maziodyne: 59,
            Shock Boost: 57,
            Tentarafoo: 0,
            Ziodyne: 0
        },
        st: 33,
        wind: -
    },
    Rakshasa: {
        ag: 17,
        arcana: Strength,
        curse: rs,        
        electric: -,
        en: 18,
        fire: rs,
        ice: -,
        item: Mind Slice,
        bless: wk,
        lu: 9,
        lvl: 24,
        ma: 15,        
        nuclear: -,
        personality: Irritable,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Counterstrike: 28,
            Adverse Resolve: 30,
            Giant Slice: 0,
            Mind Slice: 27,
            Regenerate 1: 26,
            Tarukaja: 0,
            Wind Wall: 0
        },
        st: 20,
        wind: wk
    },
    Rangda: {
        ag: 33,
        arcana: Magician,
        curse: nu,        
        electric: wk,
        en: 30,
        fire: nu,
        ice: -,
        item: Bloodbath,
        bless: wk,
        lu: 26,
        lvl: 48,
        ma: 34,        
        nuclear: -,
        personality: Unknown,
        phys: rp,
        Psi: -,
        gun: rp,        
        skills: {
            Bloodbath: 0,
            Counterstrike: 0,
            Eigaon: 49,
            Matarunda: 51,
            Mudoon: 53,
            Swift Strike: 0
        },
        st: 28,
        wind: -
    },
    Raphael: {
        ag: 55,
        arcana: Lovers,
        curse: -,        
        electric: -,
        en: 49,
        fire: -,
        ice: ab,
        item: Heat Riser,
        bless: nu,
        lu: 35,
        lvl: 78,
        ma: 45,
        nuclear: -,
        phys: -,
        Psi: nu,
        gun: -,        
        skills: {
            Arms Master: 83,
            Adverse Resolve: 82,
            Dancing Blades: 0,
            Dekaja: 0,
            Growth 3: 81,
            Heat Riser: 80,
            Power Charge: 0
        },
        st: 57,
        wind: -
    },
    Red Rider: {
        ag: 29,
        arcana: Tower,
        curse: nu,        
        electric: -,
        en: 25,
        fire: -,
        ice: -,
        item: Psi Break,
        bless: wk,
        lu: 23,
        lvl: 41,
        ma: 27,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            MaPsio: 0,
            Negative Pile: 42,
            Pressing Stance: 45,
            Psi Break: 0,
            Rage Boost: 46,
            Rising Slash: 0,
            Resist Panic: 44
        },
        st: 26,
        wind: -
    },
    Regent: {
        ag: 10,
        arcana: Emperor,
        curse: nu,        
        electric: rs,
        en: 10,
        fire: rs,
        ice: rs,
        item: リージェント,
        bless: nu,
        lu: 10,
        lvl: 10,
        ma: 10,
        nuclear: wk,
        phys: rs,
        Psi: wk,
        gun: rs,        
        skills: {
            Mabufu: 0,
            Maeiha: 0,
            Mafrei: 0,
            Magaru: 0,
            Makouha: 0,
            MaPsi: 0,
            Maragi: 0,
            Mazio: 0
        },
        st: 10,
        wind: rs
    },
    Saki Mitama: {
        ag: 6,
        arcana: Lovers,
        curse: -,        
        electric: wk,
        en: 5,
        fire: -,
        ice: rs,
        item: Rakukaja,
        bless: -,
        lu: 4,
        lvl: 6,
        ma: 6,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bufu: 0,
            Energy Drop: 0,
            Growth 1: 7,
            Rakukaja: 8,
            Resist Dizzy: 10,
            Wind Wall: 0
        },
        st: 4,
        wind: -
    },
    Sandalphon: {
        ag: 48,
        arcana: Moon,
        curse: nu,        
        electric: rs,
        en: 49,
        fire: -,
        ice: -,
        item: Angelic Grace,
        bless: rp,
        lu: 38,
        lvl: 75,
        ma: 51,        
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: rs,        
        skills: {
            Amrita Shower: 0,
            Angelic Grace: 77,
            Dancing Blades: 79,
            Mahamaon: 0,
            Repel Curseness: 78,
            Samarecarm: 0
        },
        st: 46,
        wind: -
    },
    Sandman: {
        ag: 20,
        arcana: Magician,
        curse: -,        
        electric: wk,
        en: 14,
        fire: -,
        ice: -,
        item: Sleep Boost,
        bless: -,
        lu: 21,
        lvl: 24,
        ma: 13,        
        nuclear: -,
        personality: Irritable,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Dormin Rush: 0,
            Dormina: 0,
            Garula: 0,
            Magarula: 28,
            Null Sleep: 27,
            Sleep Boost: 29,
            Sukunda: 25
        },
        st: 11,
        wind: rs
    },
    Sarasvati: {
        ag: 33,
        arcana: Priestess,
        curse: -,        
        electric: rs,
        en: 32,
        fire: -,
        ice: nu,
        item: Mediarama,
        bless: -,
        lu: 27,
        lvl: 50,
        ma: 35,
        nuclear: wk,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Dekaja: 52,
            Diarahan: 54,
            Matarunda: 53,
            Me Patra: 0,
            Mediarama: 0,
            Null Sleep: 51,
            Tentarafoo: 0
        },
        st: 30,
        wind: -
    },
    Satan: {
        ag: 52,
        arcana: Judgement,
        curse: rp,        
        electric: -,
        en: 55,
        fire: -,
        ice: rp,
        item: 弘誓の鎧,
        bless: -,
        lu: 55,
        lvl: 92,
        ma: 59,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Absorb Ice: 98,
            Black Viper: 94,
            Diamond Dust: 0,
            Ice Age: 0,
            Invigorate 3: 95,
            Mind Charge: 97,
            Regenerate 3: 0,
            Resist Ailment: 96
        },
        st: 62,
        wind: -
    },
    Satanael: {
        ag: 56,
        arcana: Fool,
        curse: ab,        
        electric: rs,
        en: 57,
        fire: rs,
        ice: rs,
        item: パラダイスロスト,
        bless: nu,
        lu: 56,
        lvl: 95,
        ma: 60,        
        nuclear: rs,
        phys: rs,
        Psi: rs,
        gun: rs,        
        skills: {
            Cosmic Flare: 96,
            Heat Riser: 97,
            Maeigaon: 0,
            Megidolaon: 0,
            Riot Gun: 0,
            Survival Trick: 0,
            Unshaken Will: 98,
            Victory Cry: 99
        },
        st: 63,
        wind: rs
    },
    Scathach: {
        ag: 30,
        arcana: Priestess,
        curse: nu,        
        electric: -,
        en: 28,
        fire: -,
        ice: rp,
        item: Tempest Slash,
        bless: -,
        lu: 25,
        lvl: 45,
        ma: 30,        
        nuclear: -,
        personality: Upbeat,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Attack Master: 49,
            Sharp Student: 0,
            Endure: 50,
            Magarula: 0,
            Maragion: 46,
            Matarukaja: 48,
            Tempest Slash: 0
        },
        st: 29,
        wind: -
    },
    Seiryu: {
        ag: 37,
        arcana: Temperance,
        curse: -,        
        electric: -,
        en: 43,
        fire: -,
        ice: rs,
        item: Amrita Drop,
        bless: -,
        lu: 34,
        lvl: 62,
        ma: 41,
        nuclear: wk,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Amrita Drop: 66,
            Bufudyne: 0,
            Diarahan: 0,
            Mabufudyne: 65,
            Makarakarn: 67,
            Marakukaja: 0,
            Repel Nuclear: 63
        },
        st: 38,
        wind: -
    },
    Setanta: {
        ag: 18,
        arcana: Emperor,
        curse: -,        
        electric: -,
        en: 19,
        fire: -,
        ice: -,
        item: Counter,
        bless: -,
        lu: 17,
        lvl: 28,
        ma: 17,
        nuclear: rs,
        phys: -,
        Psi: wk,
        gun: -,        
        skills: {
            Counter: 0,
            Dormin Rush: 0,
            Giant Slice: 0,
            Power Charge: 34,
            Rising Slash: 31,
            Rebellion: 32
        },
        st: 20,
        wind: -
    },
    Seth: {
        ag: 37,
        arcana: Tower,
        curse: rs,        
        electric: -,
        en: 33,
        fire: rp,
        ice: -,
        item: One Shot Kill,
        bless: wk,
        lu: 31,
        lvl: 51,
        ma: 37,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Agidyne: 0,
            Fire Break: 54,
            Masukukaja: 0,
            One Shot Kill: 0,
            Resist Ailment: 56,
            Weak Spot Aim: 53
        },
        st: 34,
        wind: nu
    },
    Shiisaa: {
        ag: 13,
        arcana: Chariot,
        curse: wk,        
        electric: -,
        en: 12,
        fire: -,
        ice: -,
        item: Mazio,
        bless: nu,
        lu: 8,
        lvl: 16,
        ma: 9,
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: rs,        
        skills: {
            Dodge Curseness: 20,
            Dodge Electric: 21,
            Double Fangs: 0,
            Rampage: 18,
            Skull Cracker: 0,
            Zio: 0
        },
        st: 13,
        wind: -
    },
    Shiki-Ouji: {
        ag: 16,
        arcana: Chariot,
        curse: nu,        
        electric: -,
        en: 15,
        fire: -,
        ice: -,
        item: Dormin Rush,
        bless: -,
        lu: 13,
        lvl: 21,
        ma: 11,        
        nuclear: wk,
        personality: Irritable,
        phys: nu,
        Psi: -,
        gun: nu,        
        skills: {
            Dekaja: 24,
            Snap: 0,
            MaPsi: 22,
            Oni Kagura: 27,
            Taunt: 0,
            Psio: 26,
            Tarukaja: 0
        },
        st: 21,
        wind: -
    },
    Shiva: {
        ag: 53,
        arcana: Judgement,
        curse: nu,        
        electric: rp,
        en: 53,
        fire: -,
        ice: nu,
        item: メギドファイア,
        bless: nu,
        lu: 38,
        lvl: 82,
        ma: 54,
        nuclear: wk,
        phys: -,
        Psi: ab,
        gun: -,        
        skills: {
            Auto-Mataru: 87,
            Enduring Soul: 0,
            Maziodyne: 0,
            Megidolaon: 86,
            Psicho Force: 88,
            Psichokinesis: 0,
            Riot Gun: 85
        },
        st: 55,
        wind: -
    },
    Siegfried: {
        ag: 48,
        arcana: Strength,
        curse: -,        
        electric: -,
        en: 47,
        fire: -,
        ice: rs,
        item: Vorpal Blade,
        bless: -,
        lu: 31,
        lvl: 69,
        ma: 37,
        nuclear: wk,
        phys: nu,
        Psi: -,
        gun: -,        
        skills: {
            Auto-Mataru: 72,
            High Counter: 0,
            Masukukaja: 0,
            Megaton Raid: 0,
            Power Charge: 70,
            Vorpal Blade: 74
        },
        st: 51,
        wind: -
    },
    Silky: {
        ag: 5,
        arcana: Priestess,
        curse: -,        
        electric: wk,
        en: 4,
        fire: wk,
        ice: rs,
        item: シルクのドレス,
        bless: -,
        lu: 5,
        lvl: 6,
        ma: 7,        
        nuclear: -,
        personality: Gloomy,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bufu: 0,
            Sharp Student: 10,
            Dia: 7,
            Dormina: 0,
            Patra: 9
        },
        st: 4,
        wind: -
    },
    Skadi: {
        ag: 34,
        arcana: Priestess,
        curse: nu,        
        electric: -,
        en: 34,
        fire: -,
        ice: rp,
        item: 雪の女王の鞭,
        bless: -,
        lu: 30,
        lvl: 55,
        ma: 39,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bufudyne: 58,
            Devil Touch: 0,
            Ghastly Wail: 56,
            Mabufula: 0,
            Null Distress: 0,
            Repel Ice: 60,
            Spirit Drain: 59
        },
        st: 35,
        wind: -
    },
    Slime: {
        ag: 6,
        arcana: Chariot,
        curse: -,        
        electric: -,
        en: 11,
        fire: wk,
        ice: -,
        item: Headbutt,
        bless: -,
        lu: 5,
        lvl: 10,
        ma: 6,        
        nuclear: -,
        personality: Timid,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Devil Touch: 0,
            Eiha: 11,
            Fire Wall: 13,
            Headbutt: 14,
            Lunge: 0
        },
        st: 9,
        wind: wk
    },
    Sraosha: {
        ag: 56,
        arcana: Star,
        curse: wk,        
        electric: ab,
        en: 45,
        fire: -,
        ice: -,
        item: 大天使のブラ,
        bless: rp,
        lu: 43,
        lvl: 80,
        ma: 56,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Amrita Shower: 84,
            Angelic Grace: 83,
            Debilitate: 85,
            Hama Boost: 0,
            Kougaon: 0,
            Mahamaon: 0,
            Makougaon: 81
        },
        st: 47,
        wind: -
    },
    Stone of Scone: {
        ag: 20,
        arcana: Fortune,
        curse: wk,        
        electric: nu,
        en: 20,
        fire: nu,
        ice: nu,
        item: スクーンの石,
        bless: nu,
        lu: 20,
        lvl: 20,
        ma: 20,
        nuclear: nu,
        phys: nu,
        Psi: nu,
        gun: nu,        
        skills: {
            Agilao: 0,
            Bufula: 0,
            Eiga: 0,
            Freila: 0,
            Garula: 0,
            Kouga: 0,
            Psio: 0,
            Zionga: 0
        },
        st: 20,
        wind: nu
    },
    Succubus: {
        ag: 8,
        arcana: Moon,
        curse: nu,        
        electric: -,
        en: 5,
        fire: rs,
        ice: -,
        item: ピンクショット,
        bless: wk,
        lu: 4,
        lvl: 7,
        ma: 7,        
        nuclear: -,
        personality: Irritable,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Agi: 8,
            Brainwash Boost: 11,
            Dekaja: 10,
            Marin Karin: 0,
            Mudo: 12,
            Rebellion: 0
        },
        st: 4,
        wind: -
    },
    Sudama: {
        ag: 13,
        arcana: Hermit,
        curse: -,        
        electric: -,
        en: 12,
        fire: -,
        ice: wk,
        item: Magaru,
        bless: -,
        lu: 10,
        lvl: 17,
        ma: 14,
        nuclear: wk,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Apt Pupil: 22,
            Ambient Aid: 20,
            Sharp Student: 0,
            Garula: 23,
            Lucky Punch: 0,
            Magaru: 0,
            Wind Wall: 21
        },
        st: 9,
        wind: rp
    },
    Sui-Ki: {
        ag: 18,
        arcana: Moon,
        curse: -,        
        electric: rs,
        en: 15,
        fire: -,
        ice: ab,
        item: Mabufu,
        bless: -,
        lu: 15,
        lvl: 24,
        ma: 15,        
        nuclear: wk,
